name,page_height,page_width,AuthorID,Overlapped,category,id,x,y,width,height,x_scaled,y_scaled,w_scaled,h_scaled,page_height_scaled,page_width_scaled
00060f1db73c837c2b943fec640f920a_1.jpg,1575,1200,"Schultz, F.J.",Yes,DLSignature,None,610,847,269,76,244,338,107,30,630.0,480.0
00060f1db73c837c2b943fec640f920a_1.jpg,1575,1200,NA,NA,DLLogo,None,839,68,193,139,335,27,77,55,630.0,480.0
00ba5cc657c8c203c4ed5e339f7d50e9.jpg,2292,1728,"Schultz, F.J.",Yes,DLSignature,None,933,1139,396,109,259,316,110,30,636.6666666666667,480.0
00ba5cc657c8c203c4ed5e339f7d50e9.jpg,2292,1728,,Yes,DLSignature,None,902,1986,430,84,250,551,119,23,636.6666666666667,480.0
00ba5cc657c8c203c4ed5e339f7d50e9.jpg,2292,1728,,Yes,DLSignature,None,936,2067,451,73,260,574,125,20,636.6666666666667,480.0
00ba5cc657c8c203c4ed5e339f7d50e9.jpg,2292,1728,NA,NA,DLLogo,None,93,340,455,146,25,94,126,40,636.6666666666667,480.0
00e7102949667386cd2d40b1f8b134b6.jpg,3294,2560,"Jessup, H.S.",Yes,DLSignature,None,220,1861,693,155,41,348,129,29,617.625,480.0
00e7102949667386cd2d40b1f8b134b6.jpg,3294,2560,NA,NA,DLLogo,None,130,110,720,224,24,20,135,42,617.625,480.0
0148e4778e6d8b22a8980bf4fc89351b_10.jpg,1575,1200,"McCarthy, J.B.",Yes,DLSignature,None,592,669,344,158,236,267,137,63,630.0,480.0
0148e4778e6d8b22a8980bf4fc89351b_14.jpg,1575,1200,"Bernstein, Alvin",No,DLSignature,None,685,772,266,60,274,308,106,24,630.0,480.0
0148e4778e6d8b22a8980bf4fc89351b_16.jpg,1575,1200,"O'Neill, J.C.",Yes,DLSignature,None,666,830,337,147,266,332,134,58,630.0,480.0
0148e4778e6d8b22a8980bf4fc89351b_18.jpg,1575,1200,"Bernstein, Alvin",Yes,DLSignature,None,666,784,274,59,266,313,109,23,630.0,480.0
0148e4778e6d8b22a8980bf4fc89351b_2.jpg,1575,1200,"Coiley, G.K.",Yes,DLSignature,None,551,690,385,107,220,276,154,42,630.0,480.0
0148e4778e6d8b22a8980bf4fc89351b_20.jpg,1575,1200,"Myhan, W.P.",Yes,DLSignature,None,660,1101,348,96,264,440,139,38,630.0,480.0
0148e4778e6d8b22a8980bf4fc89351b_22.jpg,1575,1200,"Kenny, F.W.",Yes,DLSignature,None,673,1175,293,109,269,470,117,43,630.0,480.0
0148e4778e6d8b22a8980bf4fc89351b_24.jpg,1575,1200,"Coiley, G.K.",Yes,DLSignature,None,619,623,383,106,247,249,153,42,630.0,480.0
0148e4778e6d8b22a8980bf4fc89351b_26.jpg,1575,1200,"Kenny, F.W.",Yes,DLSignature,None,612,1265,302,108,244,506,120,43,630.0,480.0
0148e4778e6d8b22a8980bf4fc89351b_26.jpg,1575,1200,NA,NA,DLLogo,None,91,64,409,73,36,25,163,29,630.0,480.0
0148e4778e6d8b22a8980bf4fc89351b_29.jpg,1575,1200,"Coiley, G.K.",Yes,DLSignature,None,610,711,376,103,244,284,150,41,630.0,480.0
0148e4778e6d8b22a8980bf4fc89351b_31.jpg,1575,1200,"Bernstein, Alvin",Yes,DLSignature,None,649,799,270,63,259,319,108,25,630.0,480.0
0148e4778e6d8b22a8980bf4fc89351b_33.jpg,1575,1200,"McCarthy, J.B.",Yes,DLSignature,None,542,686,335,148,216,274,134,59,630.0,480.0
0148e4778e6d8b22a8980bf4fc89351b_34.jpg,1575,1200,"Parks, G.R.",Yes,DLSignature,None,771,773,215,43,308,309,86,17,630.0,480.0
0148e4778e6d8b22a8980bf4fc89351b_36.jpg,1575,1200,"McCarthy, J.B.",Yes,DLSignature,None,592,729,342,146,236,291,136,58,630.0,480.0
0148e4778e6d8b22a8980bf4fc89351b_38.jpg,1575,1200,"Heimann, R.K.",Yes,DLSignature,None,603,869,363,80,241,347,145,32,630.0,480.0
0148e4778e6d8b22a8980bf4fc89351b_38.jpg,1575,1200,NA,NA,DLLogo,None,112,107,404,76,44,42,161,30,630.0,480.0
0148e4778e6d8b22a8980bf4fc89351b_4.jpg,1575,1200,"Teel, Z.B.",Yes,DLSignature,None,719,823,182,104,287,329,72,41,630.0,480.0
0148e4778e6d8b22a8980bf4fc89351b_6.jpg,1575,1200,"Teel, Z.B.",Yes,DLSignature,None,624,781,184,107,249,312,73,42,630.0,480.0
0148e4778e6d8b22a8980bf4fc89351b_8.jpg,1575,1200,"Teel, Z.B.",Yes,DLSignature,None,710,730,180,108,284,292,72,43,630.0,480.0
0171cd73c7bdbf48ccfd0c21804f9ced_2.jpg,3300,2544,"Harris, T.C.",Yes,DLSignature,None,1295,430,554,140,244,81,104,26,622.6415094339623,480.00000000000006
0171cd73c7bdbf48ccfd0c21804f9ced_2.jpg,3300,2544,"Neher, W.K.",Yes,DLSignature,None,1271,632,559,186,239,119,105,35,622.6415094339623,480.00000000000006
0171cd73c7bdbf48ccfd0c21804f9ced_2.jpg,3300,2544,"MacKinnon, S.A.",Yes,DLSignature,None,1314,942,818,143,247,177,154,26,622.6415094339623,480.00000000000006
02148af935993f360f2d9c3ca3eb782a_1.jpg,1575,1200,"Wtelan, F.X.",Yes,DLSignature,None,588,786,300,102,235,314,120,40,630.0,480.0
02148af935993f360f2d9c3ca3eb782a_1.jpg,1575,1200,NA,NA,DLLogo,None,79,50,198,189,31,20,79,75,630.0,480.0
02148af935993f360f2d9c3ca3eb782a_6.jpg,1575,1200,"Whelan, F.X.",No,DLSignature,None,592,782,299,102,236,312,119,40,630.0,480.0
02148af935993f360f2d9c3ca3eb782a_6.jpg,1575,1200,NA,NA,DLLogo,None,88,42,192,188,35,16,76,75,630.0,480.0
035b1329050bb966ac4c9a6af5b2df3b_1.jpg,3279,2560,NA,NA,DLLogo,None,111,227,750,219,20,42,140,41,614.8125,480.0
035b1329050bb966ac4c9a6af5b2df3b_2.jpg,3275,2560,"Vollmuth, T.A.",Yes,DLSignature,None,442,754,854,204,82,141,160,38,614.0625,480.0
045fafee58548f347bf753a3e9ee7e01.jpg,2292,1728,"Molloy, S.M.",Yes,DLSignature,None,859,1214,369,189,238,337,102,52,636.6666666666667,480.0
045fafee58548f347bf753a3e9ee7e01.jpg,2292,1728,NA,NA,DLLogo,None,183,296,450,143,50,82,125,39,636.6666666666667,480.0
04876c4333a785c98693314e2b334bba_1.jpg,1575,1200,"Hsieh, T.C.",Yes,DLSignature,None,562,818,208,81,224,327,83,32,630.0,480.0
04f963d4b4c56d0137d624131da2628a_1.jpg,3150,2400,NA,NA,DLLogo,None,147,213,259,264,29,42,51,52,630.0,480.0
04f963d4b4c56d0137d624131da2628a_2.jpg,3150,2400,"Keane, T.M.",Yes,DLSignature,None,1295,1521,552,144,259,304,110,28,630.0,480.0
0533a1e934bd69947b247d0e858d854f_1.jpg,1575,1200,"Hsieh, T.C.",Yes,DLSignature,None,571,830,205,69,228,332,82,27,630.0,480.0
063f1960461fe6f559d7857d982018dd.jpg,1575,1200,"Keane, T.M.",Yes,DLSignature,None,45,885,513,64,18,354,205,25,630.0,480.0
063f1960461fe6f559d7857d982018dd.jpg,1575,1200,"Murray, J.M.",Yes,DLSignature,None,592,856,294,121,236,342,117,48,630.0,480.0
063f1960461fe6f559d7857d982018dd.jpg,1575,1200,NA,NA,DLLogo,None,74,137,107,103,29,54,42,41,630.0,480.0
06c9aa20fd554ef077b795bffbd9f168.jpg,3296,2544,"Feldman, J.D.",Yes,DLSignature,None,247,2618,790,244,46,493,149,46,621.8867924528303,480.00000000000006
06e2fc7923f24c41909f4ba04c01edfd.jpg,1575,1200,"Ligon, R.H.",Yes,DLSignature,None,747,872,179,72,298,348,71,28,630.0,480.0
06e2fc7923f24c41909f4ba04c01edfd.jpg,1575,1200,NA,NA,DLLogo,None,124,68,98,98,49,27,39,39,630.0,480.0
06f3ab5a8dbb05a0378ee6bedf0ef2b9_1.jpg,1575,1200,"Gravely, L.E.",Yes,DLSignature,None,599,1040,143,51,239,416,57,20,630.0,480.0
06f3ab5a8dbb05a0378ee6bedf0ef2b9_1.jpg,1575,1200,NA,NA,DLLogo,None,512,348,141,73,204,139,56,29,630.0,480.0
06f3ab5a8dbb05a0378ee6bedf0ef2b9_2.jpg,1575,1200,"Gravely, L.E.",Yes,DLSignature,None,705,1289,140,71,282,515,56,28,630.0,480.0
07095c74ca6a5a1a750e9f894504069d.jpg,2292,1728,"Camisa, R.J.",Yes,DLSignature,None,201,1677,364,179,55,465,101,49,636.6666666666667,480.0
07095c74ca6a5a1a750e9f894504069d.jpg,2292,1728,NA,NA,DLLogo,None,739,264,191,111,205,73,53,30,636.6666666666667,480.0
0711e4c4976654da6df0622995dde765_3.jpg,1575,1200,"Hendershot, M.L.",Yes,DLSignature,None,490,916,317,70,196,366,126,28,630.0,480.0
081a5d93952b57ecde40bc02b8b70e67_1.jpg,3150,2400,NA,NA,DLLogo,None,627,233,213,211,125,46,42,42,630.0,480.0
08a362038a224cedd463e25f2d333753.jpg,3189,2544,"Lisanti, V.F.",Yes,DLSignature,None,284,1633,622,158,53,308,117,29,601.6981132075472,480.00000000000006
0982bd5353c9705c526d9b49fa8670cb.jpg,1575,1200,"Charles, F.K.",Yes,DLSignature,None,695,916,274,63,278,366,109,25,630.0,480.0
0982bd5353c9705c526d9b49fa8670cb.jpg,1575,1200,NA,NA,DLLogo,None,500,87,171,94,200,34,68,37,630.0,480.0
0991afad7136d846b439d7ce60f76d16.jpg,3177,2544,"Lisanti, V.F.",No,DLSignature,None,257,2127,549,165,48,401,103,31,599.433962264151,480.00000000000006
09d71e960acba7fb63abb62b10d21f6d.jpg,3311,2560,"Galeotti, K.L.",Yes,DLSignature,None,1241,2283,649,203,232,428,121,38,620.8125,480.0
09d71e960acba7fb63abb62b10d21f6d.jpg,3311,2560,NA,NA,DLLogo,None,1121,172,322,201,210,32,60,37,620.8125,480.0
0a2c344efb5dd5b88450eec236a2aa3b_1.jpg,3260,2544,NA,NA,DLLogo,None,1249,202,237,107,235,38,44,20,615.0943396226415,480.00000000000006
0a2c344efb5dd5b88450eec236a2aa3b_2.jpg,3258,2544,"Stuhl, O.",Yes,DLSignature,None,1718,2438,291,111,324,460,54,20,614.7169811320755,480.00000000000006
0a2c344efb5dd5b88450eec236a2aa3b_2.jpg,3258,2544,NA,NA,DLLogo,None,485,242,184,80,91,45,34,15,614.7169811320755,480.00000000000006
0a948131fe85c38152c0b9b22f7c09fc_4.jpg,3258,2544,"Austern, H.T.",No,DLSignature,None,1301,838,693,184,245,158,130,34,614.7169811320755,480.00000000000006
0a9aa4f1b00fb99492a54a99e70384be.jpg,2292,1728,"Jessup, H.S.",Yes,DLSignature,None,177,1200,458,119,49,333,127,33,636.6666666666667,480.0
0a9aa4f1b00fb99492a54a99e70384be.jpg,2292,1728,NA,NA,DLLogo,None,105,363,435,141,29,100,120,39,636.6666666666667,480.0
0cb18e8dc3ee49f3cca14e85d899f784.jpg,3321,2544,"Austern, H.T.",Yes,DLSignature,None,1311,2013,819,152,247,379,154,28,626.6037735849058,480.00000000000006
